state,name,lon,lat,region,ID,cluster
NY,Maple Ridge,-75.517799,43.721092,NE,32944,4
NY,Noble Ellenburg,-74.003899,44.862991,NE,37859,8
NY,Copenhagen,-75.69693000000002,43.912449,NE,13171,4
ME,Kibby Mountain II,-70.54450200000002,45.335091,NE,27786,2
NY,Maple Ridge,-75.572197,43.779091,NE,32924,4
NY,Maple Ridge,-75.525696,43.735291,NE,32889,4
NY,Maple Ridge,-75.668396,43.807091,NE,32890,4
NY,Maple Ridge (Lowville),-75.635597,43.821491,NE,33043,4
NY,Fenner Wind Power Project,-75.76709699999998,43.000992,NE,17546,6
NH,Groton,-71.7883,43.754292,NE,22229,7
ME,Saddleback Ridge,-70.36367,44.622372,NE,48720,3
NY,Orangeville Wind,-78.264496,42.748291,NE,39654,1
NY,Noble Bliss,-78.23159799999998,42.562092,NE,37672,1
NY,Maple Ridge,-75.5308,43.746693,NE,32886,4
NY,Hardscrabble,-74.895996,43.122391,NE,22898,6
NY,Wethersfield,-78.245796,42.684093,NE,59626,1
ME,Rollins,-68.398697,45.327091,NE,47660,3
MA,University of Massachussetts Dartmouth,-71.010597,41.62669,NE,58065,0
NY,Howard,-77.504112,42.328938,NE,25564,1
ME,Oakfield Wind,-68.090073,46.062431,NE,39134,3
ME,Bingham Wind,-69.628914,45.163555,NE,4312,2
MA,Nantucket High School,-70.097771,41.272144,NE,36978,0
NY,Noble Wethersfield,-78.2453,42.604294,NE,38054,1
NY,Noble Wethersfield,-78.288597,42.590794,NE,38038,1
NY,Howard,-77.550301,42.32579000000001,NE,25558,1
MD,Fourmile Ridge,-78.99987800000002,39.645542,NE,18658,5
NY,Dutch Hill/Cohocton,-77.492393,42.530792,NE,15738,1
MA,Mount Wachusett Wind Farm,-71.983597,42.590691,NE,36540,0
NY,Munnsville,-75.562599,42.952991,NE,36922,6
NY,Jericho Rise,-74.095161,44.89962,NE,26738,8
ME,Bull Hill,-68.1623,44.730789,NE,8325,3
ME,Kibby Mountain II,-70.547096,45.32869,NE,27791,2
ME,unknown Hancock County,-68.18744699999999,44.736179,NE,63740,3
MA,Hoosac,-73.044197,42.730991,NE,24734,0
NY,Marble River,-73.95929699999998,44.915489,NE,33128,8
MD,Criterion,-79.353394,39.357292,NE,13648,5
NY,Dutch Hill/Cohocton,-77.525497,42.443291,NE,15751,1
ME,Bull Hill,-68.1595,44.731892,NE,8310,3
NY,Noble Altona,-73.648399,44.817989,NE,37601,8
NY,Maple Ridge (Lowville),-75.617897,43.81089,NE,33075,4
NY,Marble River,-73.940498,44.884293,NE,33108,8
ME,Passadumkeag,-68.387497,45.126011,NE,41466,3
NY,Noble Chateaugay,-74.041801,44.92569,NE,37724,8
NH,Granite Reliable Power,-71.304802,44.846092,NE,21443,3
MA,Fairhaven Wind,-70.8722,41.637192,NE,17360,0
NY,Copenhagen,-75.621544,43.902374,NE,13170,4
NY,Hardscrabble,-74.89119699999998,43.127491,NE,22894,6
NY,New York State Thruway Authority,-79.5868,42.339123,NE,37383,1
NY,Noble Chateaugay,-74.03479,44.882301,NE,37759,8
ME,Mars Hill,-67.80764,46.561195,NE,33366,3
NH,Groton,-71.81289699999998,43.769993,NE,22211,7
ME,Bingham Wind,-69.67529300000001,45.151234,NE,4331,2
NY,Orangeville Wind,-78.270935,42.729961,NE,39664,1
ME,Oakfield Wind,-68.133072,46.076622,NE,39126,3
MD,Criterion,-79.290199,39.404793,NE,13668,5
ME,Rollins,-68.37930300000001,45.411289,NE,47628,3
NY,High Sheldon,-78.361298,42.773193,NE,23937,1
MA,Berkshire Wind,-73.274101,42.582291,NE,3473,0
NY,Zotos,-76.967598,42.886192,NE,61638,1
NY,Jericho Rise,-74.099625,44.885441,NE,26749,8
ME,Stetson,-67.977997,45.513191,NE,54203,3
NY,Arkwright Summit,-79.259651,42.431263,NE,1730,1
NY,Maple Ridge (Lowville),-75.639595,43.82859000000001,NE,33024,4
