state,name,lon,lat,region,ID
MN,Agassiz Beach,-96.427513,47.005146,EM,191
IL,Agriwind,-89.614494,41.300793,EM,192
IL,Agriwind,-89.62359599999998,41.301693,EM,193
IL,Agriwind,-89.619392,41.302994,EM,194
IL,Agriwind,-89.61889599999998,41.297791,EM,195
NE,Ainsworth Wind Project (NPPD),-99.886993,42.461494,MW,196
NE,Ainsworth Wind Project (NPPD),-99.928093,42.461792,MW,197
NE,Ainsworth Wind Project (NPPD),-99.915894,42.455593,MW,198
NE,Ainsworth Wind Project (NPPD),-99.912994,42.475193,MW,199
NE,Ainsworth Wind Project (NPPD),-99.913094,42.455193,MW,200
NE,Ainsworth Wind Project (NPPD),-99.948494,42.473392,MW,201
NE,Ainsworth Wind Project (NPPD),-99.921188,42.457993,MW,202
NE,Ainsworth Wind Project (NPPD),-99.931892,42.447094,MW,203
NE,Ainsworth Wind Project (NPPD),-99.877426,42.460644,MW,204
NE,Ainsworth Wind Project (NPPD),-99.928993,42.445492,MW,205
NE,Ainsworth Wind Project (NPPD),-99.918793,42.475193,MW,206
NE,Ainsworth Wind Project (NPPD),-99.897987,42.452393,MW,207
NE,Ainsworth Wind Project (NPPD),-99.927292,42.458591,MW,208
NE,Ainsworth Wind Project (NPPD),-99.907089,42.474892,MW,209
NE,Ainsworth Wind Project (NPPD),-99.91069,42.453094,MW,210
NE,Ainsworth Wind Project (NPPD),-99.941193,42.469292,MW,211
NE,Ainsworth Wind Project (NPPD),-99.895393,42.451393,MW,212
NE,Ainsworth Wind Project (NPPD),-99.892693,42.462791,MW,213
NE,Ainsworth Wind Project (NPPD),-99.910561,42.475048,MW,214
NE,Ainsworth Wind Project (NPPD),-99.943687,42.470493,MW,215
NE,Ainsworth Wind Project (NPPD),-99.900894,42.453094,MW,216
NE,Ainsworth Wind Project (NPPD),-99.921791,42.474491,MW,217
NE,Ainsworth Wind Project (NPPD),-99.874878,42.459457,MW,218
NE,Ainsworth Wind Project (NPPD),-99.946594,42.471394,MW,219
NE,Ainsworth Wind Project (NPPD),-99.883965,42.461147,MW,220
NE,Ainsworth Wind Project (NPPD),-99.938988,42.467995,MW,221
NE,Ainsworth Wind Project (NPPD),-99.934288,42.447792,MW,222
NE,Ainsworth Wind Project (NPPD),-99.95079,42.474995,MW,223
NE,Ainsworth Wind Project (NPPD),-99.89006,42.461864,MW,224
NE,Ainsworth Wind Project (NPPD),-99.915894,42.475891,MW,225
NE,Ainsworth Wind Project (NPPD),-99.926491,42.444492,MW,226
NE,Ainsworth Wind Project (NPPD),-99.892891,42.450191,MW,227
NE,Ainsworth Wind Project (NPPD),-99.895187,42.443192,MW,228
NE,Ainsworth Wind Project (NPPD),-99.88089,42.461891,MW,229
NE,Ainsworth Wind Project (NPPD),-99.924194,42.458591,MW,230
NE,Ainsworth Wind Project (NPPD),-99.918488,42.456692,MW,231
MA,Air Force (Barnstable),-70.591103,41.657692,NE,232
WY,Air Force (Laramie),-104.884689,41.178291,NW,233
IA,Akron-Westfield School District,-96.541191,42.829891,EM,234
KS,Alexander,-99.502907,38.430729,MW,235
KS,Alexander,-99.532265,38.426769,MW,236
KS,Alexander,-99.568794,38.415268,MW,237
